SMILES,ABL1,ACHE,ADRB2,AR,BRAF,COX2,DRD2,EGFR,HDAC1,HTR2A,JAK2,MAOA,VEGFR2
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,0,0,0,0,0,0,0,1,0,0,0,0,0
Brc1cnc(Nc2ccccn2)s1,0,0,0,0,0,0,0,0,0,0,0,0,1
C#CC(C)(C)c1cc(N=C(C)C)cc(C(=O)Nc2ccc(C)c(C(=O)Nc3cccnc3)c2)c1,0,0,0,0,1,0,0,0,0,0,0,0,0
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCCCCC)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,0,0,0,0,0,0,0,0,0,0,0,1,0
C#CCN(C)Cc1ccnc2c(O)cccc12,0,0,0,0,0,0,0,0,0,0,0,1,0
C#CCN(C)[C@H](C)Cc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
C#CCN1CCN(Cc2ccnc3c(O)cccc23)CC1,0,0,0,0,0,0,0,0,0,0,0,0,0
C#CCNCc1ccnc2c(O)cccc12,0,0,0,0,0,0,0,0,0,0,0,0,0
C#CCN[C@@H]1CCc2cc(Cl)c(OC(=O)N(C)CCC)cc21,0,0,0,0,0,0,0,0,0,0,0,0,0
C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21,0,0,0,0,0,0,0,0,0,0,0,0,0
C#CCN[C@@H]1CCc2ccccc21,0,0,0,0,0,0,0,0,0,0,0,1,0
C#CCN[C@H]1CCc2ccccc21,0,0,0,0,0,0,0,0,0,0,0,0,0
C#CCSc1ccccc1OC(C)=O,0,0,0,0,0,0,0,0,0,0,0,0,0
C#CCSc1nsc(SCC#C)c1C#N,0,0,0,0,0,0,0,0,0,0,0,0,0
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C(#Cc1ccccc1)CN(c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,0,0,0,0,0,0,1,0,0,0,0,0,0
C(#Cc1ccccc1)CNC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0,0
C(=C/C1CCN(Cc2ccccc2)CC1)\c1noc2ccccc12,0,1,0,0,0,0,0,0,0,0,0,0,0
C(=C/c1ccccc1)\CN(C/C=C/c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0,0
C(=C/c1ccccc1)\CN(c1ccccc1)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0,0
C(=C/c1ccccc1)\CNC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0,0
C/C(=C\COc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1,0,0,0,0,0,0,0,0,0,0,0,0,0
C/C(=C\c1ccc(N(C)C)cc1)[N+](=O)[O-],0,0,0,0,0,0,0,0,0,0,0,0,0
C/C(=C\c1ccc(NS(=O)(=O)c2ccccc2)cc1)C(=O)NO,0,0,0,0,0,0,0,0,0,0,0,0,0
C/C(=N/Nc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccccc1)c1ccc([N+](=O)[O-])cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
C/C(=N/Nc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccccc1)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
C/C(=N\OC(=O)Nc1ccccc1)c1cccc(-c2cccs2)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
C/C(Cl)=C/Cn1c(N/N=C(/C)c2ccc([N+](=O)[O-])cc2)nc2c1c(=O)[nH]c(=O)n2C,0,0,0,0,0,0,0,0,0,0,0,0,0
C/C(Cl)=C\CSc1nc2c(c(=O)[nH]c(=O)n2C)n1CC(O)CCc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
C/C(Cl)=C\CSc1nc2c(c(=O)n(Cc3ccccc3)c(=O)n2C)n1Cc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,0,0,0,0,0,0,0,0,0,0,0,0,0
C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0,0,0,0,0,0,0,1,0,0,0,0,0
C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C/C=C1\C2C=C(C(F)(F)F)CC1(N)c1ccc(O)nc1C2,0,1,0,0,0,0,0,0,0,0,0,0,0
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,0,0,0,0,0,0,0,0,1,0,0,0,0
